task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Generation Run 1,2025-07-31T12:38:40,Herwig Generation Phase,707f0fb5-45ca-4d3f-b368-07a6d912e9c8,20.141520774999663,2.1571356223861868e-05,1.0709848471374995e-06,6.227976775872001,0.0,10.0,3.48451918299622e-05,0.0,5.594754783332974e-05,9.079273966329194e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 2,2025-07-31T12:39:07,Herwig Generation Phase,707f0fb5-45ca-4d3f-b368-07a6d912e9c8,20.055353960000502,2.158942898936257e-05,1.0765953661808889e-06,6.314771218285714,0.0,10.0,3.517225097389677e-05,0.0,5.569655603889664e-05,9.086880701279341e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 3,2025-07-31T12:39:32,Herwig Generation Phase,707f0fb5-45ca-4d3f-b368-07a6d912e9c8,19.829407936998905,2.1380932495649493e-05,1.0781711802573038e-06,6.33719694216,0.0,10.0,3.490826655944209e-05,0.0,5.5082989330559125e-05,8.99912558900012e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 4,2025-07-31T12:39:58,Herwig Generation Phase,707f0fb5-45ca-4d3f-b368-07a6d912e9c8,19.462172784998984,2.0928498498605378e-05,1.075325210660272e-06,6.29431772592,0.0,10.0,3.402755936503483e-05,0.0,5.405942487499892e-05,8.808698424003374e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 5,2025-07-31T12:40:24,Herwig Generation Phase,707f0fb5-45ca-4d3f-b368-07a6d912e9c8,19.39718442600133,2.087728514631316e-05,1.076293663627255e-06,6.308481334080001,0.0,10.0,3.3991135784773054e-05,0.0,5.388029406388646e-05,8.787142984865949e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 6,2025-07-31T12:40:49,Herwig Generation Phase,707f0fb5-45ca-4d3f-b368-07a6d912e9c8,19.64536457900249,2.116014883168914e-05,1.0771301086995103e-06,6.3209602848,0.0,10.0,3.449361090733573e-05,0.0,5.456837778611875e-05,8.90619886934544e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 7,2025-07-31T12:41:15,Herwig Generation Phase,707f0fb5-45ca-4d3f-b368-07a6d912e9c8,19.854222777998075,2.148821503106623e-05,1.082370109902498e-06,6.402192426480001,0.0,10.0,3.5302663447960844e-05,0.0,5.514013916944248e-05,9.044280261740335e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 8,2025-07-31T12:41:41,Herwig Generation Phase,707f0fb5-45ca-4d3f-b368-07a6d912e9c8,19.8111404400006,2.134192473074632e-05,1.0772285650969525e-06,6.32580799656,0.0,10.0,3.480602105816695e-05,0.0,5.5021053136119406e-05,8.982707419428635e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 9,2025-07-31T12:42:08,Herwig Generation Phase,707f0fb5-45ca-4d3f-b368-07a6d912e9c8,19.840268972999183,2.1364331553881552e-05,1.0768167633250679e-06,6.314413920960001,0.0,10.0,3.480422623273712e-05,0.0,5.511715713889015e-05,8.992138337162727e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 10,2025-07-31T12:42:27,Herwig Generation Phase,707f0fb5-45ca-4d3f-b368-07a6d912e9c8,14.442074189999403,1.5551162192391937e-05,1.0769428583073303e-06,6.31472738016,0.0,10.0,2.533477802499042e-05,0.0,4.011927158333289e-05,6.545404960832336e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
