task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Integration Run 1,2025-07-31T10:48:38,Herwig Integration Phase,fd232ca1-e91d-4f33-ae4d-88b62168a93b,3.52562056899842,3.4405020301452334e-06,9.755748239126599e-07,4.821907098,0.0,10.0,4.711335647646631e-06,0.0,9.769562163890238e-06,1.448089781153687e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 2,2025-07-31T10:49:27,Herwig Integration Phase,fd232ca1-e91d-4f33-ae4d-88b62168a93b,3.398368456000753,3.3217259888454326e-06,9.775864771187281e-07,4.8208702872,0.0,10.0,4.548063769928684e-06,0.0,9.432911733337178e-06,1.3980975503265861e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 3,2025-07-31T10:50:19,Herwig Integration Phase,fd232ca1-e91d-4f33-ae4d-88b62168a93b,3.4298909419994743,3.3572401117667445e-06,9.78473872728807e-07,4.821933385200001,0.0,10.0,4.597615635043841e-06,0.0,9.532837002775018e-06,1.413045263781886e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 4,2025-07-31T10:51:12,Herwig Integration Phase,fd232ca1-e91d-4f33-ae4d-88b62168a93b,3.337419580999267,3.2566999623283288e-06,9.75534016170292e-07,4.8173616803999995,0.0,10.0,4.457283755703416e-06,0.0,9.250000513889571e-06,1.3707284269592989e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 5,2025-07-31T10:52:04,Herwig Integration Phase,fd232ca1-e91d-4f33-ae4d-88b62168a93b,3.379067543999554,3.3036191527296325e-06,9.773183235783757e-07,4.8162984744,0.0,10.0,4.52048354395155e-06,0.0,9.38428120832921e-06,1.3904764752280756e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 6,2025-07-31T10:52:56,Herwig Integration Phase,fd232ca1-e91d-4f33-ae4d-88b62168a93b,3.4103789789987786,3.333642532540083e-06,9.77744765139882e-07,4.8200639376000005,0.0,10.0,4.563774764844115e-06,0.0,9.46735686389325e-06,1.4031131628737371e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 7,2025-07-31T10:53:50,Herwig Integration Phase,fd232ca1-e91d-4f33-ae4d-88b62168a93b,3.3532397390008555,3.2780371778424406e-06,9.779187839847593e-07,4.817325414,0.0,10.0,4.486231556267288e-06,0.0,9.31085996666702e-06,1.3797091522934309e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 8,2025-07-31T10:54:40,Herwig Integration Phase,fd232ca1-e91d-4f33-ae4d-88b62168a93b,3.3475110750005115,3.2685953856668106e-06,9.763575497067786e-07,4.819577732400001,0.0,10.0,4.474422939450035e-06,0.0,9.282928561111069e-06,1.3757351500561104e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 9,2025-07-31T10:55:34,Herwig Integration Phase,fd232ca1-e91d-4f33-ae4d-88b62168a93b,3.2146764190001704,3.1474319352326664e-06,9.783949634304387e-07,4.819086656400001,0.0,10.0,4.309199100509499e-06,0.0,8.938181608330833e-06,1.3247380708840338e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 10,2025-07-31T10:56:26,Herwig Integration Phase,fd232ca1-e91d-4f33-ae4d-88b62168a93b,3.41051531300036,3.340423031259848e-06,9.793591060732008e-07,4.8180290556,0.0,10.0,4.571969135843151e-06,0.0,9.487701266657996e-06,1.405967040250114e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
