task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Generation Run 1,2025-07-30T16:40:29,Herwig Generation Phase,219996ee-35ce-45a1-8515-c14f61ffee63,46.362790424000195,0.00016063788716222125,3.464813808462849e-06,42.5,0.0,10.0,0.0005473342015472225,0.0,0.00012878248383055708,0.0006761166853777795,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Generation Run 2,2025-07-30T16:41:22,Herwig Generation Phase,219996ee-35ce-45a1-8515-c14f61ffee63,48.23383906000163,0.00016712101873080735,3.4648183546847763e-06,42.5,0.0,10.0,0.0005694229750423537,0.0,0.00013398088090555376,0.0007034038559479074,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Generation Run 3,2025-07-30T16:42:15,Herwig Generation Phase,219996ee-35ce-45a1-8515-c14f61ffee63,48.41148114099997,0.00016773094345866942,3.4648144812200636e-06,42.5,0.0,10.0,0.0005715016603013827,0.0,0.00013446933776110908,0.0007059709980624918,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Generation Run 4,2025-07-30T16:43:08,Herwig Generation Phase,219996ee-35ce-45a1-8515-c14f61ffee63,48.454098546999376,0.00016788296557657633,3.4648184836768874e-06,42.5,0.0,10.0,0.0005720196583055657,0.0,0.00013459119310833156,0.0007066108514138972,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Generation Run 5,2025-07-30T16:44:05,Herwig Generation Phase,219996ee-35ce-45a1-8515-c14f61ffee63,52.46918755899969,0.0001817697411333935,3.4647965185905227e-06,42.5,0.0,10.0,0.0006193380922166676,0.0,0.0001457214902277782,0.0007650595824444458,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Generation Run 6,2025-07-30T16:45:03,Herwig Generation Phase,219996ee-35ce-45a1-8515-c14f61ffee63,53.23971123499905,0.00018433375056384628,3.464544094723946e-06,42.5,0.0,10.0,0.0006281013857847195,0.0,0.00014774998176111085,0.0007758513675458303,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Generation Run 7,2025-07-30T16:46:25,Herwig Generation Phase,219996ee-35ce-45a1-8515-c14f61ffee63,68.26971635900009,0.00023644120765732124,3.464690125388697e-06,42.5,0.0,10.0,0.0008056380525812553,0.0,0.0001895309479083354,0.0009951690004895907,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Generation Run 8,2025-07-30T16:47:23,Herwig Generation Phase,219996ee-35ce-45a1-8515-c14f61ffee63,52.333094201001586,0.00018131576531638192,3.4646877781501006e-06,42.5,0.0,10.0,0.0006177884393194317,0.0,0.0001453603820333329,0.0007631488213527644,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Generation Run 9,2025-07-30T16:48:15,Herwig Generation Phase,219996ee-35ce-45a1-8515-c14f61ffee63,47.9295241539985,0.00016606662140391344,3.4648217472657283e-06,42.5,0.0,10.0,0.0005658304587076498,0.0,0.000133135492594445,0.0006989659513020946,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Generation Run 10,2025-07-30T16:49:06,Herwig Generation Phase,219996ee-35ce-45a1-8515-c14f61ffee63,46.69163740499971,0.0001617822507766955,3.464823673285167e-06,42.5,0.0,10.0,0.0005512325007541478,0.0,0.0001297007527916625,0.0006809332535458101,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
