task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Generation Run 1,2025-07-31T10:37:54,Herwig Generation Phase,bdc016ba-2162-44b7-86e5-fb625b085bf9,46.3275765699982,4.969979534566516e-05,1.0728213598610393e-06,6.252602319507694,0.0,10.0,8.047665682266121e-05,0.0,0.00012870725045278152,0.00020918390727544273,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 2,2025-07-31T10:38:45,Herwig Generation Phase,bdc016ba-2162-44b7-86e5-fb625b085bf9,45.64774124700125,4.954866954841167e-05,1.085449566295259e-06,6.448123820765217,0.0,10.0,8.175726974201229e-05,0.0,0.00012679055675000403,0.00020854782649201635,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 3,2025-07-31T10:39:33,Herwig Generation Phase,bdc016ba-2162-44b7-86e5-fb625b085bf9,44.1081140569986,4.7762355553429155e-05,1.082864563092478e-06,6.409571439490909,0.0,10.0,7.852326678244999e-05,0.0,0.00012250605508610938,0.0002010293218685594,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 4,2025-07-31T10:40:24,Herwig Generation Phase,bdc016ba-2162-44b7-86e5-fb625b085bf9,45.90962248900178,4.97063064852906e-05,1.082776465678606e-06,6.406961539408696,0.0,10.0,8.169833259438406e-05,0.0,0.0001275129797361135,0.00020921131233049757,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 5,2025-07-31T10:41:12,Herwig Generation Phase,bdc016ba-2162-44b7-86e5-fb625b085bf9,42.644231743001,4.621498129224829e-05,1.0837936432222356e-06,6.424583215590698,0.0,10.0,7.608718607320298e-05,0.0,0.00011842931634167451,0.00019451650241487743,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 6,2025-07-31T10:41:56,Herwig Generation Phase,bdc016ba-2162-44b7-86e5-fb625b085bf9,39.200963279999996,4.233233095428808e-05,1.0799758370956291e-06,6.363928298639999,0.0,10.0,6.929260524546148e-05,0.0,0.00010888201965000106,0.00017817462489546254,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 7,2025-07-31T10:42:39,Herwig Generation Phase,bdc016ba-2162-44b7-86e5-fb625b085bf9,38.44689145300072,4.1456478121465424e-05,1.0782440305869557e-06,6.337387571076923,0.0,10.0,6.7685909100926e-05,0.0,0.0001068022958305543,0.0001744882049314802,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 8,2025-07-31T10:43:22,Herwig Generation Phase,bdc016ba-2162-44b7-86e5-fb625b085bf9,37.567813591998856,4.061288040437021e-05,1.0810322202540202e-06,6.381191633557896,0.0,10.0,6.658814407620628e-05,0.0,0.00010434940103055447,0.00017093754510676086,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 9,2025-07-31T10:44:05,Herwig Generation Phase,bdc016ba-2162-44b7-86e5-fb625b085bf9,38.26532866599882,4.1358367366041036e-05,1.0807224096403668e-06,6.3751485504,0.0,10.0,6.777192575058827e-05,0.0,0.00010630333600833582,0.0001740752617589241,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Generation Run 10,2025-07-31T10:44:50,Herwig Generation Phase,bdc016ba-2162-44b7-86e5-fb625b085bf9,39.75322971899732,4.32566026315287e-05,1.088151759385477e-06,6.48243405048,0.0,10.0,7.160544642339714e-05,0.0,0.00011045939088611106,0.0001820648373095082,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
