task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Integration Run 1,2025-07-30T16:09:04,Herwig Integration Phase,d7858f39-eefc-4380-b33f-6130cb6bbbd9,3.0120443050000176,1.046007349808598e-05,3.46438198606612e-06,42.5,0.0,10.0,3.564126237916096e-05,0.0,8.3846542166662e-06,4.402591659582716e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 2,2025-07-30T16:09:39,Herwig Integration Phase,d7858f39-eefc-4380-b33f-6130cb6bbbd9,2.6569307320005464,9.208490446458552e-06,3.464456457577881e-06,42.5,0.0,10.0,3.1376695244440116e-05,0.0,7.381372033331799e-06,3.8758067277771926e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 3,2025-07-30T16:10:16,Herwig Integration Phase,d7858f39-eefc-4380-b33f-6130cb6bbbd9,2.627866091999749,9.10740001981963e-06,3.4641811762640266e-06,42.5,0.0,10.0,3.103186910972227e-05,0.0,7.300713711113834e-06,3.8332582820836106e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 4,2025-07-30T16:10:51,Herwig Integration Phase,d7858f39-eefc-4380-b33f-6130cb6bbbd9,2.6244744260002335,9.094872390895588e-06,3.4642631381581727e-06,42.5,0.0,10.0,3.099045339097807e-05,0.0,7.289401277780092e-06,3.827985466875819e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 5,2025-07-30T16:11:31,Herwig Integration Phase,d7858f39-eefc-4380-b33f-6130cb6bbbd9,3.0991782339988276,1.0740887534919299e-05,3.464436856536924e-06,42.5,0.0,10.0,3.659920431596853e-05,0.0,8.608644258331169e-06,4.520784857429971e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 6,2025-07-30T16:12:10,Herwig Integration Phase,d7858f39-eefc-4380-b33f-6130cb6bbbd9,2.593008832000123,8.984337495773855e-06,3.4641176963158127e-06,42.5,0.0,10.0,3.061312140278637e-05,0.0,7.201497522222172e-06,3.781461892500855e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 7,2025-07-30T16:12:46,Herwig Integration Phase,d7858f39-eefc-4380-b33f-6130cb6bbbd9,2.7214522680005757,9.430171275517433e-06,3.464480704935953e-06,42.5,0.0,10.0,3.213198454930205e-05,0.0,7.559126047221475e-06,3.969111059652357e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 8,2025-07-30T16:13:22,Herwig Integration Phase,d7858f39-eefc-4380-b33f-6130cb6bbbd9,2.6298266889989463,9.1082984588309e-06,3.4619830318540993e-06,42.5,0.0,10.0,3.103546665209555e-05,0.0,7.300897652779292e-06,3.833636430487482e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 9,2025-07-30T16:13:58,Herwig Integration Phase,d7858f39-eefc-4380-b33f-6130cb6bbbd9,2.5993598509994627,9.00891363791644e-06,3.46447918768139e-06,42.5,0.0,10.0,3.0696809805562646e-05,0.0,7.221248849999842e-06,3.791805865556246e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
Integration Run 10,2025-07-30T16:14:34,Herwig Integration Phase,d7858f39-eefc-4380-b33f-6130cb6bbbd9,2.729887065999719,9.466034826895363e-06,3.46448357268039e-06,42.5,0.0,10.0,3.2254181446537814e-05,0.0,7.587877011115376e-06,3.984205845765322e-05,United Kingdom,GBR,,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-0.1224,51.4964,3.6808700561523438,machine,N
