task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Integration Run 1,2025-07-31T12:45:00,Herwig Integration Phase,330bf5d9-7903-4ebb-85a6-6ed26c23466b,2.6333746340023936,2.5780052854265867e-06,9.77832131478643e-07,4.813913424000002,0.0,10.0,3.526432794907507e-06,0.0,7.3242601472177034e-06,1.085069294212521e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 2,2025-07-31T12:45:45,Herwig Integration Phase,330bf5d9-7903-4ebb-85a6-6ed26c23466b,2.4983564040012425,2.444626962726652e-06,9.778379210467918e-07,4.817077248,0.0,10.0,3.3454715223925704e-06,0.0,6.943838852779058e-06,1.028931037517163e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 3,2025-07-31T12:46:27,Herwig Integration Phase,330bf5d9-7903-4ebb-85a6-6ed26c23466b,2.5104959560012503,2.454881614641272e-06,9.774913907889736e-07,4.8164674656,0.0,10.0,3.359215957789074e-06,0.0,6.9732557249962045e-06,1.033247168278528e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 4,2025-07-31T12:47:10,Herwig Integration Phase,330bf5d9-7903-4ebb-85a6-6ed26c23466b,2.5039988050011743,2.4512270625896396e-06,9.782972372741768e-07,4.8173930544,0.0,10.0,3.3545179232272417e-06,0.0,6.962571936108159e-06,1.0317089859335403e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 5,2025-07-31T12:47:52,Herwig Integration Phase,330bf5d9-7903-4ebb-85a6-6ed26c23466b,2.4714757520014246,2.4161041548405176e-06,9.777415208127963e-07,4.816783214400001,0.0,10.0,3.3061963850698647e-06,0.0,6.8630629444467385e-06,1.0169259329516598e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 6,2025-07-31T12:48:35,Herwig Integration Phase,330bf5d9-7903-4ebb-85a6-6ed26c23466b,2.4632609430009325,2.4055902881215287e-06,9.772397021952303e-07,4.8157332816,0.0,10.0,3.2914952777758698e-06,0.0,6.833511722217938e-06,1.0125006999993808e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 7,2025-07-31T12:49:17,Herwig Integration Phase,330bf5d9-7903-4ebb-85a6-6ed26c23466b,2.4805344289998175,2.423646221127874e-06,9.773639507156628e-07,4.8156787488,0.0,10.0,3.316037432937016e-06,0.0,6.8849660694468215e-06,1.0201003502383841e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 8,2025-07-31T12:50:00,Herwig Integration Phase,330bf5d9-7903-4ebb-85a6-6ed26c23466b,2.4720987920009065,2.4159335275547102e-06,9.765471519060507e-07,4.816216588800001,0.0,10.0,3.3059082096294636e-06,0.0,6.8626329583316385e-06,1.0168541167961099e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 9,2025-07-31T12:50:43,Herwig Integration Phase,330bf5d9-7903-4ebb-85a6-6ed26c23466b,2.4530559339982574,2.397410723081333e-06,9.77092624024136e-07,4.814807808,0.0,10.0,3.2797088884754677e-06,0.0,6.8108707388697985e-06,1.009057962734526e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
Integration Run 10,2025-07-31T12:51:28,Herwig Integration Phase,330bf5d9-7903-4ebb-85a6-6ed26c23466b,2.4736759000006714,2.4169571656130065e-06,9.76670435519494e-07,4.8150676704,0.0,10.0,3.306662750076924e-06,0.0,6.866186858335118e-06,1.0172849608412036e-05,United Kingdom,GBR,england,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.4,12,12th Gen Intel(R) Core(TM) i5-1235U,,,-2.2277,53.4479,3.6808700561523438,machine,N
